id_candidat,SEMESTRE,ANNEE_SEMESTRE,MODULE,NOTE_MODULE
4550,S6,2015,BD2(PLSQL),14.2
4550,S6,2014,ZEB DYNAMIQUE,13.62
4550,S6,2015,GESTION DE PROJET,18.2
4550,S6,2015,PROJET TUTORE 1,15.75
4550,S6,2015,PROJET TUTORE 2,15.75
7203,S1,2014,CHIMIE GENERALE ,9.25
7203,S1,2010,LANGUE ET COMMUNICATIN I,11.1
7203,S1,2014,MECANIQUE THERMODYNAMIQUE,13.19
7203,S1,2010,ANALYSE I,11.20
7203,S2,2011,INFORMATIQUE,10.17
7203,S2,2011,ALGEBRE,12.1
7203,S2,2011,ILANGUE ET COMMUNICATIN II,10.58
7203,S2,2014,ELECTRICITE ET NOTIONS D'ELECTRONIQUE,12
7203,S3,2012,CHIMIE MENIRALE ET ORGANIQUE,7.6
7203,S3,2012,ALGORITHMIQUE,12.4
7203,S3,2014,ELECTROMAGNETISME OPTIQUE,10
7203,S3,2012,ANALYSE 2,10
7203,S4,2012,C++/JAVA,10
7203,S4,2012,VB.NET/LINUX,11.35
7203,S4,2012,SYSTEMES D'INFORMATION/BASE DE DONNEES RELATIONNELS,8.3
7203,S4,2012,ANGLAIS/FONCTIONS CLES DE L'ENTREPRISE,10.5
7203,S5,2013,PROGRAMMATION WEB,10
7203,S5,2013,IMH/UML,13.4
7203,S5,2013,ADMINISTRATION DES BASES DE DONNEES ORACLE/RESEAUX,14.3
7203,S5,2013,THEORIE DES GRAPHES/PROBABILITES STATIQTIQUE,10
7203,S6,2013,ARCHITECTURE REPARTIE/WEB SERVICES,12.25
7203,S6,2013,BASES DE DONNEES REPARTIS,9.5
7203,S6,2014,STAGE,14
7203,S6,2013,PROJET DE FIN D'ETUDE,14
2983,S1,2010/2011,LANGUE 1 & METHODOLOGIE :,15
2983,S1,2011/2012,ANALYSE 1,5
2983,S1,2011/2012,ALGEBRE 1,16
2983,S1,2011/2012,PHYSIQUE 1 ,11.05 
2983,S2,2010/2011,L2 & INFO 1,16.66
2983,S2,2010/2011,ANALYSE II ,10
2983,S2,2010/2011,ALGEBRE II,11.5
2983,S2,2013/2014,PHYSIQUE II ,9.05
